QuarterCode,ClassID,ClassCapacity,CourseID,CourseTitle,Credits,DayID,StudentsEnrolled,Modality,SectionStatusID1
C013,0783C013,18,ATECH152,AUTO LEADERSHIP 3,10,11,1,NULL,P
C013,0644C013,18,ATECH114,AUTO TRANSMIS/TRANS-AXLE,60,11,0,NULL,P
C013,1139C013,24,BIOL&100,SURVEY OF BIOLOGY,55,24,24,3C,NULL
C013,2311C013,0,CRC  133,JURY CHARGE 100 WPM,40,4,4,51,P
C013,Y630C013,20,BU-SB037,SMALL BUSINESS START-UP,0,2,0,NULL,W
C013,1519C013,20,BTAC 175,INSTRUCTOR ASSISTANT,50,24,0,NULL,P
C013,5151C013,30,IP   099,INTL STUDENT COLL EXPER,0,12,0,NULL,Y
C013,6270C013,0,MTX  140,MECHATRONICS 5,135,11,0,NULL,Y
C013,3579C013,22,ENGL 126,WRITING: HUMANITIES,55,24,10,3C,NULL
C013,3947C013,10,ENGL&101,ENGLISH COMPOSITION I,55,12,10,51,NULL
C012,0055C012,25,ACCT 110,PRAC FINANCIAL ACCOUNT 1,50,24,26,3C,NULL
C012,Y737C012,25,HE-NU019,BOOST YOUR IMMUNE SYSTEM,0,3,4,50,W
C012,6163C012,33,MATH&141,PRECALCULUS I,50,7,32,50,NULL
C012,8019C012,16,PTA  260,THERAPEUTIC EXERCISE LAB,30,2,13,80,NULL
C012,4683C012,28,GERM&121,GERMAN I,53,8,0,51,X
C012,4763C012,37,HIST&136,US HISTORY I,50,11,37,51,NULL
C011,4791C011,32,NUTR&101,NUTRITION,50,24,28,3C,NULL
C011,3933C011,0,IP   098,ACCELERATED READ/WRITE,0,11,0,51,X
C011,5451C011,0,TS   020,TS ACADEMIC SKILLS,50,1,8,51,P
C011,6027C011,0,TS-OD020,OPEN DOORS ORIENTATION,35,1,0,51,P
C011,3971C011,24,IT   131,INTRODUCTION TO NETWORKS,50,24,0,3C,X
C011,C599C011,16,CEYC 070,CODE YOUR OWN ADVENTURES,0,7,0,NULL,W
C011,YJ07C011,30,BU-LE012,THE FINE ART OF DELEGATI,0,24,0,50,W
C011,4015C011,24,IT   190,INTRODUCTION TO LINUX,55,24,22,3C,NULL
C011,6083C011,0,TS-OD056,OD MATH HS EQUIVALENCY 1,50,2,0,51,P
C011,4019C011,24,IT   201,DATABASE FUNDAMENTALS,55,24,24,3C,NULL
